feature,gain
ten_progression_goal_m,124.1272201538086
long_avg_progress_speed_mps,103.93167877197266
fifteen_progression_goal_m,94.87547302246094
first_action_type,44.979849219322205
fifteen_avg_progress_speed_mps,38.45981216430664
in_play_20s,32.705657958984375
long_end_progress_m,31.227428436279297
in_play_15s,17.258249282836914
long_duration_s,14.480011940002441
long_progression_goal_m,13.64511775970459
fifteen_duration_s,12.080930709838867
mid_progression_goal_m,9.399852752685547
fifteen_end_progress_m,8.52686595916748
stop_reason,8.48988652229309
long_min_goal_distance_m,8.364633560180664
ten_min_goal_distance_m,7.6771111488342285
event_count_pass_15s,7.558654308319092
fifteen_min_goal_distance_m,6.616115093231201
ten_start_goal_distance_m,6.132720947265625
long_progression_x_m,5.553297519683838
fifteen_start_progress_m,5.514431476593018
mid_min_goal_distance_m,5.49810266494751
event_count_shot_10s,5.418026924133301
event_count_duel_15s,5.291463851928711
ten_start_progress_m,4.995197772979736
fifteen_progression_x_m,4.961197853088379
short_min_goal_distance_m,4.915024280548096
long_start_progress_m,4.371603965759277
mid_start_goal_distance_m,3.821434259414673
event_count_shot_5s,1.122898817062378
