match_id,start_event_id,clip_id,human_label,positive_votes,agreement_votes,human_weight,human_source,candidate_id,current_clip_file,matched_reference_snapshot
5544194,2218717687,candidate_043,0,0.0,7,12.0,new170,,,
5544194,2218718141,candidate_156,1,7.0,7,12.0,new170,,,
5544194,2218718172,candidate_092,1,7.0,7,12.0,new170,,,
5544195,2219331156,candidate_107,0,0.0,7,12.0,new170,,,
5544195,2219332141,candidate_112,0,0.0,7,12.0,new170,,,
5544196,2219390869,candidate_161,1,4.0,4,3.0,new170,,,
5544197,2219458035,candidate_069,0,0.0,7,12.0,new170,,,
5544198,2220250771,candidate_038,0,0.0,7,12.0,new170,,,
5544198,2220251057,candidate_105,0,0.0,7,12.0,new170,,,
5544199,2220315350,candidate_090,0,0.0,7,12.0,new170,,,
5544200,2220208484,candidate_145,1,7.0,7,12.0,new170,,,
5544200,2220208588,candidate_018,0,0.0,7,12.0,new170,,,
5544200,2220209123,candidate_143,1,7.0,7,12.0,new170,,,
5544201,2220777572,candidate_089,1,7.0,7,12.0,new170,,,
5544201,2220777934,candidate_070,1,7.0,7,12.0,new170,,,
5544201,2220777979,candidate_035,0,0.0,7,12.0,new170,,,
5544202,2220758330,candidate_110,0,0.0,7,12.0,new170,,,
5544204,2221660265,candidate_115,0,0.0,7,12.0,new170,,,
5544204,2221660509,candidate_104,0,0.0,7,12.0,new170,,,
5544206,2222167304,candidate_068,1,7.0,7,12.0,new170,,,
5544206,2222168111,candidate_162,1,6.0,6,8.0,new170,,,
5544207,2222146090,candidate_025,0,0.0,7,12.0,new170,,,
5544208,2222023897,candidate_059,0,0.0,7,12.0,new170,,,
5544208,2222024089,candidate_014,0,0.0,7,12.0,new170,,,
5544209,2222758541,candidate_150,1,7.0,7,12.0,new170,,,
5544209,2222758612,candidate_147,1,7.0,7,12.0,new170,,,
5544209,2222758871,candidate_121,0,0.0,7,12.0,new170,,,
5544212,2223223961,candidate_163,1,7.0,7,12.0,new170,,,
5544212,2223224711,candidate_005,0,1.0,6,8.0,new170,,,
5544212,2223224853,candidate_065,0,0.0,7,12.0,new170,,,
5544212,2223225376,candidate_017,0,2.0,5,5.0,new170,,,
5544212,2223225695,candidate_022,0,2.0,5,5.0,new170,,,
5544213,2223281536,candidate_122,0,0.0,7,12.0,new170,,,
5544214,2223174801,candidate_001,0,0.0,7,12.0,new170,,,
5544215,2223780277,candidate_120,0,0.0,7,12.0,new170,,,
5544215,2223780435,candidate_154,1,6.0,6,8.0,new170,,,
5544217,2223729468,candidate_165,1,5.0,5,5.0,new170,,,
5544219,2224602525,candidate_166,1,7.0,7,12.0,new170,,,
5544219,2224602741,candidate_057,0,0.0,7,12.0,new170,,,
5544219,2224602965,candidate_031,0,0.0,7,12.0,new170,,,
5544219,2224603182,candidate_157,1,7.0,7,12.0,new170,,,
