iteration,model,human_train_n,human_test_n,human_test_positive,human_test_negative,human_train_positive,human_train_negative,tp,fp,fn,tn,precision,recall,f1,accuracy,roc_auc,threshold,validation_f1,validation_precision,validation_recall,train_positive_rate,val_positive_rate
1,rule_definition,167,48,17,31,61,106,14,4,3,27,0.7777777777777778,0.8235294117647058,0.8,0.8541666666666666,0.8472485768500948,,,,,,
1,xgboost_baseline,167,48,17,31,61,106,14,4,3,27,0.7777777777777778,0.8235294117647058,0.8,0.8541666666666666,0.8842504743833017,0.76,0.875968992248062,0.8432835820895522,0.9112903225806451,0.07137784090909091,0.057594054807245706
1,hybrid_xgboost,167,48,17,31,61,106,15,6,2,25,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.9259962049335863,0.74,0.8715953307392996,0.8421052631578947,0.9032258064516129,0.07078598484848485,0.057594054807245706
2,rule_definition,167,48,17,31,61,106,13,5,4,26,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.8125,0.8017077798861479,,,,,,
2,xgboost_baseline,167,48,17,31,61,106,14,7,3,24,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.7916666666666666,0.8918406072106262,0.54,0.9357142857142857,0.9225352112676056,0.9492753623188406,0.07011904761904762,0.06269877328487052
2,hybrid_xgboost,167,48,17,31,61,106,15,7,2,24,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.8125,0.8842504743833016,0.5,0.9314079422382672,0.9347826086956522,0.9280575539568345,0.0694047619047619,0.0631531122217174
3,rule_definition,167,48,17,31,61,106,11,5,6,26,0.6875,0.6470588235294118,0.6666666666666666,0.7708333333333334,0.7428842504743833,,,,,,
3,xgboost_baseline,167,48,17,31,61,106,12,4,5,27,0.75,0.7058823529411765,0.7272727272727273,0.8125,0.9013282732447817,0.68,0.9404388714733543,0.9259259259259259,0.9554140127388535,0.06824146981627296,0.07075259125732312
3,hybrid_xgboost,167,48,17,31,61,106,14,5,3,26,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8333333333333334,0.9203036053130931,0.58,0.9056603773584906,0.8727272727272727,0.9411764705882353,0.06788356000954426,0.06894997746732763
4,rule_definition,167,48,17,31,61,106,14,5,3,26,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8333333333333334,0.8311195445920304,,,,,,
4,xgboost_baseline,167,48,17,31,61,106,13,7,4,24,0.65,0.7647058823529411,0.7027027027027027,0.7708333333333334,0.8861480075901328,0.7,0.946031746031746,0.9197530864197531,0.9738562091503268,0.0684997011356844,0.0684257602862254
4,hybrid_xgboost,167,48,17,31,61,106,13,7,4,24,0.65,0.7647058823529411,0.7027027027027027,0.7708333333333334,0.8937381404174572,0.8,0.9250814332247557,0.9161290322580645,0.9342105263157895,0.06814106395696354,0.06797853309481217
5,rule_definition,167,48,17,31,61,106,14,7,3,24,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.7916666666666666,0.7988614800759013,,,,,,
5,xgboost_baseline,167,48,17,31,61,106,15,5,2,26,0.75,0.8823529411764706,0.8108108108108109,0.8541666666666666,0.9278937381404175,0.84,0.9311475409836065,0.9342105263157895,0.9281045751633987,0.06743828983110901,0.07169634489222118
5,hybrid_xgboost,167,48,17,31,61,106,15,4,2,27,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.875,0.9563567362428842,0.8,0.9013157894736842,0.9072847682119205,0.8954248366013072,0.06720207865832054,0.07169634489222118
6,rule_definition,167,48,17,31,61,106,11,9,6,22,0.55,0.6470588235294118,0.5945945945945946,0.6875,0.6783681214421253,,,,,,
6,xgboost_baseline,167,48,17,31,61,106,11,8,6,23,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.7083333333333334,0.8026565464895635,0.82,0.9204152249134948,0.9172413793103448,0.9236111111111112,0.06804075418667291,0.06983511154219205
6,hybrid_xgboost,167,48,17,31,61,106,12,7,5,24,0.631578947368421,0.7058823529411765,0.6666666666666666,0.75,0.7798861480075902,0.8,0.9220338983050848,0.912751677852349,0.9315068493150684,0.06745520552757935,0.07080504364694472
7,rule_definition,167,48,17,31,61,106,12,6,5,25,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.7708333333333334,0.7561669829222012,,,,,,
7,xgboost_baseline,167,48,17,31,61,106,12,12,5,19,0.5,0.7058823529411765,0.5853658536585366,0.6458333333333334,0.8083491461100569,0.6,0.9259259259259259,0.8992805755395683,0.9541984732824428,0.06997769167547259,0.0628598848368522
7,hybrid_xgboost,167,48,17,31,61,106,12,7,5,24,0.631578947368421,0.7058823529411765,0.6666666666666666,0.75,0.8462998102466793,0.76,0.8955223880597015,0.8823529411764706,0.9090909090909091,0.06927321826934367,0.06333973128598848
8,rule_definition,167,48,17,31,61,106,13,4,4,27,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.8333333333333334,0.8178368121442124,,,,,,
8,xgboost_baseline,167,48,17,31,61,106,15,5,2,26,0.75,0.8823529411764706,0.8108108108108109,0.8541666666666666,0.8994307400379506,0.74,0.8872180451127819,0.8368794326241135,0.944,0.07099964676792653,0.059297912713472484
8,hybrid_xgboost,167,48,17,31,61,106,15,6,2,25,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.9222011385199241,0.58,0.8689138576779026,0.8055555555555556,0.943089430894309,0.0705286706699635,0.058349146110056926
9,rule_definition,167,48,17,31,61,106,12,8,5,23,0.6,0.7058823529411765,0.6486486486486487,0.7291666666666666,0.7239089184060722,,,,,,
9,xgboost_baseline,167,48,17,31,61,106,11,7,6,24,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.7291666666666666,0.7893738140417458,0.9,0.9056603773584906,0.9448818897637795,0.8695652173913043,0.06901011051022807,0.06587112171837708
9,hybrid_xgboost,167,48,17,31,61,106,15,8,2,23,0.6521739130434783,0.8823529411764706,0.75,0.7916666666666666,0.8576850094876659,0.64,0.8719723183391004,0.8344370860927153,0.9130434782608695,0.06865741829296967,0.06587112171837708
10,rule_definition,167,48,17,31,61,106,10,9,7,22,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.6666666666666666,0.648956356736243,,,,,,
10,xgboost_baseline,167,48,17,31,61,106,11,8,6,23,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.7083333333333334,0.7362428842504743,0.62,0.9264305177111717,0.918918918918919,0.9340659340659341,0.06560540279787747,0.07882200086617583
10,hybrid_xgboost,167,48,17,31,61,106,12,8,5,23,0.6,0.7058823529411765,0.6486486486486487,0.7291666666666666,0.7741935483870968,0.44,0.9173333333333333,0.9052631578947369,0.9297297297297298,0.06476121562952243,0.08012126461671719
11,rule_definition,167,48,17,31,61,106,15,6,2,25,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.844402277039848,,,,,,
11,xgboost_baseline,167,48,17,31,61,106,14,6,3,25,0.7,0.8235294117647058,0.7567567567567568,0.8125,0.9146110056925996,0.9,0.8859060402684564,0.9166666666666666,0.8571428571428571,0.06814106395696354,0.06887298747763863
11,hybrid_xgboost,167,48,17,31,61,106,15,10,2,21,0.6,0.8823529411764706,0.7142857142857143,0.75,0.9146110056925996,0.6,0.8676923076923077,0.8245614035087719,0.9155844155844156,0.06790197250448296,0.06887298747763863
12,rule_definition,167,48,17,31,61,106,13,6,4,25,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7916666666666666,0.7855787476280834,,,,,,
12,xgboost_baseline,167,48,17,31,61,106,13,4,4,27,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.8333333333333334,0.922201138519924,0.78,0.924924924924925,0.927710843373494,0.9221556886227545,0.06761006289308176,0.07158165452207459
12,hybrid_xgboost,167,48,17,31,61,106,15,7,2,24,0.6818181818181818,0.8823529411764706,0.7692307692307693,0.8125,0.9297912713472485,0.58,0.9054441260744985,0.8633879781420765,0.9518072289156626,0.06724721819061441,0.07115302186026576
13,rule_definition,167,48,17,31,61,106,12,6,5,25,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.7708333333333334,0.7561669829222012,,,,,,
13,xgboost_baseline,167,48,17,31,61,106,12,8,5,23,0.6,0.7058823529411765,0.6486486486486487,0.7291666666666666,0.7969639468690702,0.72,0.8962655601659751,0.8780487804878049,0.9152542372881356,0.07078925956061839,0.05905905905905906
13,hybrid_xgboost,167,48,17,31,61,106,14,7,3,24,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.7916666666666666,0.8387096774193548,0.52,0.8663967611336032,0.823076923076923,0.9145299145299145,0.07032430547483436,0.05855855855855856
14,rule_definition,167,48,17,31,61,106,14,7,3,24,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.7916666666666666,0.7988614800759013,,,,,,
14,xgboost_baseline,167,48,17,31,61,106,14,8,3,23,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7708333333333334,0.8956356736242884,0.68,0.9320987654320988,0.937888198757764,0.9263803680981595,0.06715345942063682,0.07254116599910992
14,hybrid_xgboost,167,48,17,31,61,106,15,4,2,27,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.875,0.937381404174573,0.74,0.9056603773584906,0.9113924050632911,0.9,0.06727316255685899,0.07120605251446373
15,rule_definition,167,48,17,31,61,106,12,7,5,24,0.631578947368421,0.7058823529411765,0.6666666666666666,0.75,0.7400379506641367,,,,,,
15,xgboost_baseline,167,48,17,31,61,106,14,9,3,22,0.6086956521739131,0.8235294117647058,0.7,0.75,0.8880455407969639,0.58,0.9428571428571428,0.9116022099447514,0.9763313609467456,0.06697931697931699,0.07396061269146609
15,hybrid_xgboost,167,48,17,31,61,106,15,6,2,25,0.7142857142857143,0.8823529411764706,0.7894736842105263,0.8333333333333334,0.9259962049335863,0.6,0.9090909090909091,0.8757062146892656,0.9451219512195121,0.0670995670995671,0.07177242888402625
16,rule_definition,167,48,17,31,61,106,15,8,2,23,0.6521739130434783,0.8823529411764706,0.75,0.7916666666666666,0.8121442125237192,,,,,,
16,xgboost_baseline,167,48,17,31,61,106,13,8,4,23,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.75,0.8785578747628083,0.84,0.9069767441860465,0.9140625,0.9,0.0695570438256374,0.06220095693779904
16,hybrid_xgboost,167,48,17,31,61,106,15,4,2,27,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.875,0.9240986717267552,0.8,0.8888888888888888,0.8818897637795275,0.896,0.07014451885794853,0.05980861244019139
17,rule_definition,167,48,17,31,61,106,12,8,5,23,0.6,0.7058823529411765,0.6486486486486487,0.7291666666666666,0.7239089184060722,,,,,,
17,xgboost_baseline,167,48,17,31,61,106,11,7,6,24,0.6111111111111112,0.6470588235294118,0.6285714285714286,0.7291666666666666,0.810246679316888,0.72,0.9096989966555183,0.9006622516556292,0.918918918918919,0.06803442990213418,0.06981132075471698
