model,metric,mean,std,p05,p25,median,p75,p95,min,max
hybrid_xgboost,precision,0.6839434671395068,0.08807634059343301,0.5237060041407868,0.6310916179337231,0.6818181818181818,0.7368421052631579,0.8333333333333334,0.5,1.0
hybrid_xgboost,recall,0.8211764705882354,0.09382008815076462,0.6470588235294118,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.9411764705882353,0.5294117647058824,1.0
hybrid_xgboost,f1,0.7422493107196061,0.07156756765095212,0.5994117647058823,0.7014456316781899,0.75,0.7894736842105263,0.8428571428571427,0.5625,0.9090909090909091
hybrid_xgboost,accuracy,0.7970833333333333,0.05993033975287995,0.6666666666666666,0.765625,0.8125,0.8333333333333334,0.8760416666666666,0.6458333333333334,0.9375
rule_definition,precision,0.6656214067187953,0.07326877368288866,0.5331372549019607,0.6143162393162394,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.45,0.7857142857142857
rule_definition,recall,0.7252941176470589,0.09274662429543885,0.5882352941176471,0.6470588235294118,0.7058823529411765,0.7794117647058822,0.8823529411764706,0.47058823529411764,0.9411764705882353
rule_definition,f1,0.6911988568116315,0.06900671828599997,0.5706349206349206,0.6470588235294118,0.7027027027027027,0.7428571428571429,0.8,0.4864864864864865,0.8
rule_definition,accuracy,0.7710416666666667,0.052177524257080325,0.6666666666666666,0.7291666666666666,0.7708333333333334,0.8125,0.8541666666666666,0.6041666666666666,0.8541666666666666
xgboost_baseline,precision,0.6323855100208814,0.0797635964001187,0.5206521739130434,0.5714285714285714,0.631578947368421,0.6842105263157895,0.7777777777777778,0.48,0.8666666666666667
xgboost_baseline,recall,0.7270588235294118,0.09840218015954567,0.5852941176470589,0.6470588235294118,0.7058823529411765,0.7794117647058822,0.8823529411764706,0.4117647058823529,0.9411764705882353
xgboost_baseline,f1,0.6726756570517849,0.0724000472080946,0.5550505050505051,0.6285714285714286,0.6666666666666666,0.7296650717703349,0.766470588235294,0.4827586206896552,0.8125
xgboost_baseline,accuracy,0.7497916666666667,0.05668787667528976,0.665625,0.7083333333333334,0.75,0.7916666666666666,0.834375,0.625,0.875
