feature,label,direction_expected_for_success,shot_n,no_shot_n,denmark_n,shot_mean,no_shot_mean,denmark_mean,shot_minus_no_shot_mean,denmark_minus_shot_mean
long_progression_goal_m,Progression toward goal (m),higher,61,272,10,45.77418822051654,42.811300299540164,35.307834071792534,2.962887920976378,-10.466354148724008
outcome_progress_m,Outcome progress (m),higher,61,272,10,88.81967213114754,80.51844996145495,75.82647124191185,8.301222169692593,-12.993200889235695
outcome_goal_distance_m,Outcome distance to goal (m),lower,61,271,10,19.486081002905998,30.298563304786686,34.74438448778684,-10.812482301880689,15.258303484880841
outcome_goal_progression_speed_mps,Outcome goal progression speed (m/s),higher,61,271,10,3.044305255255946,3.3084605409007786,3.379013080741681,-0.26415528564483237,0.33470782548573474
outcome_time_s,Duration to outcome (s),higher,61,272,10,10.409327868852392,11.26584191176469,8.460899999999967,-0.8565140429122984,-1.9484278688524252
long_directness_goal,Directness to goal,higher,61,272,10,0.7867714946580758,0.8521146077620287,0.8375276531637024,-0.06534311310395291,0.050756158505626536
first_action_time_s,Time to first action (s),lower,52,256,10,1.949538461538395,2.322542968749996,2.423299999999937,-0.37300450721160106,0.4737615384615421
event_count_pass_20s,Pass count within 20s,higher,61,272,10,1.9180327868852458,2.422794117647059,2.4,-0.5047613307618131,0.4819672131147541
event_count_touch_20s,Touch count within 20s,higher,61,272,10,0.4918032786885246,0.43014705882352944,0.3,0.06165621986499514,-0.1918032786885246
long_start_progress_m,Start progression (m),higher,61,272,10,56.36941594250542,42.49573028229029,44.987503356471045,13.87368566021513,-11.381912586034375
long_start_goal_distance_m,Start goal distance (m),lower,61,272,10,52.067912100572684,66.5212550262848,63.95794397055329,-14.453342925712121,11.890031869980604
