feature,label,direction_expected_for_success,shot_n,no_shot_n,denmark_n,shot_mean,no_shot_mean,denmark_mean,shot_minus_no_shot_mean,denmark_minus_shot_mean
long_progression_goal_m,Progression toward goal (m),higher,27,111,17,42.022102170475456,38.83728744743396,36.45151132902644,3.184814723041498,-5.570590841449018
outcome_progress_m,Outcome progress (m),higher,27,111,17,88.93888888888888,76.19468468468467,80.59823529411766,12.744204204204209,-8.340653594771226
outcome_goal_distance_m,Outcome distance to goal (m),lower,27,106,17,18.309473191651918,34.20858817487822,29.29521574862816,-15.899114983226305,10.985742556976241
outcome_goal_progression_speed_mps,Outcome goal progression speed (m/s),higher,27,106,17,3.8072514248372404,3.3398541052608453,2.724711499643228,0.4673973195763952,-1.0825399251940127
outcome_time_s,Duration to outcome (s),higher,27,111,17,9.330888888888909,10.164918918918934,10.985764705882325,-0.834030030030025,1.6548758169934157
long_directness_goal,Directness to goal,higher,27,111,17,0.8263979999434483,0.881904666366214,0.7934867059931171,-0.055506666422765694,-0.03291129395033121
first_action_time_s,Time to first action (s),lower,24,97,17,1.9810416666666917,2.131206185566978,2.2261176470588038,-0.15016451890028626,0.2450759803921121
event_count_pass_20s,Pass count within 20s,higher,27,111,17,1.7777777777777777,2.045045045045045,2.0588235294117645,-0.26726726726726735,0.2810457516339868
event_count_touch_20s,Touch count within 20s,higher,27,111,17,0.7037037037037037,0.45045045045045046,0.47058823529411764,0.25325325325325326,-0.23311546840958608
long_start_progress_m,Start progression (m),higher,27,111,17,55.000370370370376,43.64441441441442,48.90352941176471,11.355955955955956,-6.096840958605668
long_start_goal_distance_m,Start goal distance (m),lower,27,111,17,54.333911569488016,65.74323432210133,60.04506016938232,-11.409322752613313,5.711148599894301
