feature,label,direction_expected_for_success,shot_n,no_shot_n,denmark_n,shot_mean,no_shot_mean,denmark_mean,shot_minus_no_shot_mean,denmark_minus_shot_mean
long_progression_goal_m,Progression toward goal (m),higher,79,222,20,44.52893933338719,38.67311743677178,42.26836447519639,5.85582189661541,-2.2605748581908003
outcome_progress_m,Outcome progress (m),higher,79,222,20,88.39936708860759,84.02517811699907,82.89750000000001,4.374188971608518,-5.5018670886075824
outcome_goal_distance_m,Outcome distance to goal (m),lower,79,222,20,19.434975548320253,26.793848068791277,24.952218385099066,-7.358872520471024,5.517242836778813
outcome_goal_progression_speed_mps,Outcome goal progression speed (m/s),higher,79,222,20,3.2645433992185007,3.7838659522817855,4.117218876972835,-0.5193225530632848,0.8526754777543344
outcome_time_s,Duration to outcome (s),higher,79,222,20,8.826645569620275,10.563792792792793,9.76259999999995,-1.7371472231725171,0.9359544303796739
long_directness_goal,Directness to goal,higher,79,222,20,0.8823081821816081,0.9042791707983818,0.9172542892660388,-0.021970988616773712,0.03494610708443069
first_action_time_s,Time to first action (s),lower,73,202,19,2.0928904109589292,2.3031881188118666,2.4114210526315305,-0.21029770785293733,0.31853064167260126
event_count_pass_20s,Pass count within 20s,higher,79,222,20,1.5569620253164558,2.144144144144144,1.9,-0.5871821188276882,0.34303797468354413
event_count_touch_20s,Touch count within 20s,higher,79,222,20,0.5569620253164557,0.44144144144144143,0.55,0.11552058387501424,-0.006962025316455622
long_start_progress_m,Start progression (m),higher,79,222,20,58.25374910568594,43.866730285112055,43.20205676144409,14.387018820573886,-15.05169234424185
long_start_goal_distance_m,Start goal distance (m),lower,79,222,20,50.64963614932572,65.33893178996676,63.50547208841395,-14.689295640641042,12.85583593908823
