teamName,matches,hybrid_counterattacks,counterattacks_per_match,shot_rate,box_shot_proxy_rate,box_entry_proxy_rate,final_third_entry_proxy_rate,avg_progression_goal_m,avg_progression_speed_mps,avg_duration_s,avg_start_goal_distance_m,avg_directness,avg_probability
Denmark Under 21,4,17,4.25,0.29411764705882354,0.23529411764705882,0.47058823529411764,0.7647058823529411,36.451511329026445,4.147999197633278,8.936294117647066,60.045060169382324,0.7934867059931171,0.9345354141176471
Finland Under 21,3,11,3.6666666666666665,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.8181818181818182,33.932628930892825,4.120555029229502,9.58209090909096,54.444038254369495,0.8321998321953021,0.9652171354545455
Italy Under 21,4,12,3.0,0.25,0.16666666666666666,0.3333333333333333,0.4166666666666667,25.623399051812314,4.90005235412307,5.79850000000008,59.08303367477874,0.8465522635957786,0.9701177691666666
Georgia Under 21,3,8,2.6666666666666665,0.125,0.125,0.5,0.5,41.01039943530214,6.931966822193571,7.866375000000029,71.3575442951738,0.8096221906287524,0.9804944950000001
Slovakia Under 21,3,8,2.6666666666666665,0.125,0.125,0.25,0.25,46.524246823912094,5.714595493479974,9.682875000000145,82.77606278496208,0.930116956694056,0.98173376125
France Under 21,5,13,2.6,0.07692307692307693,0.0,0.46153846153846156,0.7692307692307693,32.75250405280379,5.000929518600663,7.377384615384693,57.63073476342872,0.8509940124198143,0.9441194715384615
Netherlands Under 21,5,13,2.6,0.46153846153846156,0.3076923076923077,0.7692307692307693,0.9230769230769231,46.51827488419046,4.983972350477571,9.039307692307757,58.830494907232385,0.8443509578568439,0.9967969461538462
Ukraine Under 21,3,7,2.3333333333333335,0.0,0.0,0.7142857142857143,0.7142857142857143,55.211079349656316,5.388537268836188,11.679142857142779,77.51865687732969,0.8781451233500189,0.9887397385714286
Portugal Under 21,4,9,2.25,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.8888888888888888,41.276777937337734,4.621542927904948,10.803222222222209,59.73614624837229,0.9143566947378099,0.9350804444444445
Germany Under 21,6,12,2.0,0.08333333333333333,0.08333333333333333,0.5,0.75,39.14857638398416,5.046210595342434,8.506166666666559,63.307913910476145,0.9568277033375141,0.9595615633333333
Spain Under 21,4,8,2.0,0.25,0.25,0.5,0.625,38.655104339928606,5.595602459729373,8.430624999999996,62.15188847713753,0.9197646834520137,0.9886146125
Poland Under 21,3,5,1.6666666666666667,0.0,0.0,0.4,0.8,51.03633265695255,6.060170771378036,9.49720000000002,73.77878181737033,0.909122936313248,0.973021178
Romania Under 21,3,5,1.6666666666666667,0.0,0.0,0.2,0.6,37.239439268623535,4.7601521583100155,8.669599999999837,69.41265839133708,0.892698196173621,0.9829200260000001
England Under 21,6,8,1.3333333333333333,0.25,0.25,0.625,0.75,36.230645769372536,4.460652388732956,8.23225000000005,56.198951335088495,0.902445823867773,0.98283929625
Slovenia Under 21,3,2,0.6666666666666666,0.0,0.0,0.5,1.0,73.05331778230786,6.711604567314945,11.183500000000095,93.0440655755576,0.9998592883149753,0.997984115
Czechia Under 21,3,0,0.0,,,,,,,,,,
