display_candidate_id,group_name,group_order,model_probability,model_threshold,predicted_label,rule_label_counterattack,distance_to_threshold,match_id,team_id,start_event_id,match_period,start_ts,long_duration_s,annotation_duration_s,annotation_stop_reason,source_label,clip_path
candidate_001,01_negatives_just_under_threshold,1,0.6596376299858093,0.66,0,1,-0.000362396240234375,5544214,14622,2223174801,2H,3020.791,19.463999999999945,27.016999999999825,opponent_on_ball,Slovakia - Ukraine,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_001.mp4
candidate_002,01_negatives_just_under_threshold,1,0.6576927304267883,0.66,0,0,-0.002307295799255371,5706370,14628,2579478071,2H,5490.194,9.390999999999622,14.304999999999382,opponent_on_ball,Netherlands U21 - Ukraine U21,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_002.mp4
candidate_003,01_negatives_just_under_threshold,1,0.6451131105422974,0.66,0,0,-0.014886915683746338,5544224,9109,2226368635,1H,161.473,14.537999999999982,17.937999999999988,opponent_on_ball,Netherlands - Austria,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_003.mp4
candidate_004,01_negatives_just_under_threshold,1,0.6325787901878357,0.66,0,0,-0.027421236038208008,5544237,4687,2230122772,1H,2556.828,12.389000000000124,14.31399999999985,opponent_on_ball,Austria - Turkey,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_004.mp4
candidate_005,01_negatives_just_under_threshold,1,0.6288008093833923,0.66,0,0,-0.031199216842651367,5544212,13869,2223224711,1H,1575.902,3.1749999999999545,5.9529999999999745,opponent_on_ball,Poland - Austria,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_005.mp4
candidate_006,01_negatives_just_under_threshold,1,0.6267022490501404,0.66,0,0,-0.03329777717590332,5728858,1599,2613283929,2H,3870.043,5.089999999999691,5.089999999999691,opponent_on_ball,Germany - Spain,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_006.mp4
candidate_007,01_negatives_just_under_threshold,1,0.6198529005050659,0.66,0,0,-0.04014712572097778,5544233,1598,2228696173,1H,1777.156,16.809999999999945,23.36200000000008,opponent_on_ball,Spain - Georgia,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_007.mp4
candidate_008,01_negatives_just_under_threshold,1,0.6076452136039734,0.66,0,0,-0.05235481262207031,5728857,2414,2612567518,1H,994.27,19.125,26.980000000000018,game_interruption,England - Italy,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_008.mp4
candidate_009,01_negatives_just_under_threshold,1,0.5966156721115112,0.66,0,0,-0.06338435411453247,5706374,670,2581949049,1H,2808.541,15.599999999999907,19.542999999999665,opponent_on_ball,Portugal U21 - Netherlands U21,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_009.mp4
candidate_010,01_negatives_just_under_threshold,1,0.590036928653717,0.66,0,0,-0.06996309757232666,5707002,13870,2599191980,1H,1395.851,3.112999999999829,5.5909999999998945,opponent_on_ball,Poland - Sweden,Data/derived/human_annotation_set_50_50_20_20_current_746_terminal_filtered_v2/01_negatives_just_under_threshold/candidate_010.mp4
