display_candidate_num,Nicolai,Christoffer,Mikkel,Son,Rida,Malik,Christian,positive_votes,negative_votes,majority_label,agreement_votes,agreement_share,is_unanimous
1,0,0,0,0,0,0,0,0,7,0,7,1.0,True
2,0,0,1,0,1,0,0,2,5,0,5,0.7142857142857143,False
3,0,0,0,0,0,0,0,0,7,0,7,1.0,True
4,1,0,1,0,0,0,0,2,5,0,5,0.7142857142857143,False
5,0,0,0,0,1,0,0,1,6,0,6,0.8571428571428571,False
6,0,0,0,0,0,0,0,0,7,0,7,1.0,True
7,0,0,0,0,0,0,0,0,7,0,7,1.0,True
8,1,0,1,0,1,1,1,5,2,1,5,0.7142857142857143,False
9,0,0,0,0,0,1,0,1,6,0,6,0.8571428571428571,False
10,0,0,0,0,1,0,0,1,6,0,6,0.8571428571428571,False
11,0,0,0,0,0,0,0,0,7,0,7,1.0,True
12,0,0,0,0,0,0,0,0,7,0,7,1.0,True
13,1,1,1,1,1,1,1,7,0,1,7,1.0,True
14,0,0,0,0,0,0,0,0,7,0,7,1.0,True
15,1,0,1,1,1,1,1,6,1,1,6,0.8571428571428571,False
16,0,0,0,0,0,0,0,0,7,0,7,1.0,True
17,0,0,1,0,1,0,0,2,5,0,5,0.7142857142857143,False
18,0,0,0,0,0,0,0,0,7,0,7,1.0,True
19,0,0,0,0,0,0,0,0,7,0,7,1.0,True
20,0,0,0,0,0,0,0,0,7,0,7,1.0,True
21,0,0,0,0,0,0,0,0,7,0,7,1.0,True
22,0,1,0,0,1,0,0,2,5,0,5,0.7142857142857143,False
24,1,0,0,0,0,0,0,1,6,0,6,0.8571428571428571,False
25,0,0,0,0,0,0,0,0,7,0,7,1.0,True
26,0,0,0,0,0,0,0,0,7,0,7,1.0,True
27,0,0,0,0,0,0,0,0,7,0,7,1.0,True
29,0,0,0,0,0,0,0,0,7,0,7,1.0,True
30,0,0,0,0,0,0,0,0,7,0,7,1.0,True
31,0,0,0,0,0,0,0,0,7,0,7,1.0,True
32,1,1,1,0,1,1,1,6,1,1,6,0.8571428571428571,False
33,1,1,0,0,0,0,1,3,4,0,4,0.5714285714285714,False
34,0,1,0,0,0,1,0,2,5,0,5,0.7142857142857143,False
35,0,0,0,0,0,0,0,0,7,0,7,1.0,True
36,0,0,0,0,0,0,0,0,7,0,7,1.0,True
37,0,0,0,0,0,0,0,0,7,0,7,1.0,True
38,0,0,0,0,0,0,0,0,7,0,7,1.0,True
39,1,1,1,0,0,1,1,5,2,1,5,0.7142857142857143,False
41,0,0,0,0,0,0,0,0,7,0,7,1.0,True
42,0,0,0,0,0,0,0,0,7,0,7,1.0,True
43,0,0,0,0,0,0,0,0,7,0,7,1.0,True
44,0,0,0,0,0,0,0,0,7,0,7,1.0,True
45,0,0,0,0,0,0,0,0,7,0,7,1.0,True
46,1,1,1,1,0,1,1,6,1,1,6,0.8571428571428571,False
47,0,0,0,0,0,0,0,0,7,0,7,1.0,True
48,1,1,1,1,1,1,1,7,0,1,7,1.0,True
49,0,1,0,0,0,0,0,1,6,0,6,0.8571428571428571,False
50,0,0,0,0,0,0,0,0,7,0,7,1.0,True
51,0,1,1,1,1,1,0,5,2,1,5,0.7142857142857143,False
52,0,0,0,0,0,0,0,0,7,0,7,1.0,True
53,0,0,0,0,0,0,0,0,7,0,7,1.0,True
54,1,1,1,0,1,1,1,6,1,1,6,0.8571428571428571,False
55,0,0,0,0,0,0,0,0,7,0,7,1.0,True
57,0,0,0,0,0,0,0,0,7,0,7,1.0,True
58,1,1,1,1,1,1,1,7,0,1,7,1.0,True
59,0,0,0,0,0,0,0,0,7,0,7,1.0,True
60,1,0,1,1,1,1,1,6,1,1,6,0.8571428571428571,False
61,1,1,1,1,1,1,1,7,0,1,7,1.0,True
63,1,1,1,1,1,1,1,7,0,1,7,1.0,True
64,0,0,0,0,0,0,0,0,7,0,7,1.0,True
65,0,0,0,0,0,0,0,0,7,0,7,1.0,True
67,0,0,0,0,0,0,0,0,7,0,7,1.0,True
68,1,1,1,1,1,1,1,7,0,1,7,1.0,True
69,0,0,0,0,0,0,0,0,7,0,7,1.0,True
70,1,1,1,1,1,1,1,7,0,1,7,1.0,True
71,0,0,0,0,0,0,0,0,7,0,7,1.0,True
72,0,1,0,0,1,0,0,2,5,0,5,0.7142857142857143,False
73,0,0,0,0,0,0,0,0,7,0,7,1.0,True
74,0,0,0,0,0,0,0,0,7,0,7,1.0,True
75,1,1,1,1,1,1,1,7,0,1,7,1.0,True
76,0,0,0,0,0,0,0,0,7,0,7,1.0,True
77,1,0,1,1,1,1,1,6,1,1,6,0.8571428571428571,False
78,0,0,0,0,1,1,0,2,5,0,5,0.7142857142857143,False
79,0,0,0,0,0,0,0,0,7,0,7,1.0,True
80,0,0,0,0,0,0,0,0,7,0,7,1.0,True
81,0,0,0,0,0,0,0,0,7,0,7,1.0,True
82,0,0,0,0,0,0,0,0,7,0,7,1.0,True
83,1,1,1,1,1,1,1,7,0,1,7,1.0,True
84,0,0,0,0,0,0,0,0,7,0,7,1.0,True
85,0,0,0,0,0,0,0,0,7,0,7,1.0,True
87,1,1,1,0,1,1,1,6,1,1,6,0.8571428571428571,False
88,0,0,0,0,0,0,0,0,7,0,7,1.0,True
89,1,1,1,1,1,1,1,7,0,1,7,1.0,True
90,0,0,0,0,0,0,0,0,7,0,7,1.0,True
91,0,1,1,1,1,1,1,6,1,1,6,0.8571428571428571,False
92,1,1,1,1,1,1,1,7,0,1,7,1.0,True
93,0,0,0,0,0,0,0,0,7,0,7,1.0,True
94,1,1,1,1,1,1,1,7,0,1,7,1.0,True
95,1,1,1,1,1,1,1,7,0,1,7,1.0,True
96,0,0,0,0,0,0,0,0,7,0,7,1.0,True
97,0,0,0,0,0,0,0,0,7,0,7,1.0,True
98,0,0,1,0,0,1,0,2,5,0,5,0.7142857142857143,False
99,0,0,0,0,0,0,0,0,7,0,7,1.0,True
100,0,0,0,0,0,0,0,0,7,0,7,1.0,True
101,0,0,0,0,0,0,0,0,7,0,7,1.0,True
102,0,0,0,0,0,0,0,0,7,0,7,1.0,True
103,0,0,0,0,0,0,0,0,7,0,7,1.0,True
104,0,0,0,0,0,0,0,0,7,0,7,1.0,True
105,0,0,0,0,0,0,0,0,7,0,7,1.0,True
106,0,0,0,0,0,0,0,0,7,0,7,1.0,True
107,0,0,0,0,0,0,0,0,7,0,7,1.0,True
108,0,0,0,0,0,0,0,0,7,0,7,1.0,True
109,0,0,0,0,0,0,0,0,7,0,7,1.0,True
