clip_id,Nicolai,Christoffer,Mikkel,Son,Rida,Malik,Christian,positive_votes,negative_votes,majority_label,agreement_votes,agreement_share,is_unanimous
1,1,0,1,0,1,1,0,4,3,1,4,0.5714285714285714,False
2,0,0,1,0,1,1,1,4,3,1,4,0.5714285714285714,False
3,0,0,0,0,0,0,0,0,7,0,7,1.0,True
4,1,1,0,1,0,0,0,3,4,0,4,0.5714285714285714,False
5,1,1,1,1,1,1,1,7,0,1,7,1.0,True
6,0,0,0,0,0,0,0,0,7,0,7,1.0,True
7,0,0,0,0,0,0,0,0,7,0,7,1.0,True
8,0,0,0,0,0,0,0,0,7,0,7,1.0,True
9,1,1,1,1,1,0,1,6,1,1,6,0.8571428571428571,False
10,0,0,0,0,0,0,0,0,7,0,7,1.0,True
11,1,1,1,1,0,1,1,6,1,1,6,0.8571428571428571,False
12,0,1,0,0,0,0,0,1,6,0,6,0.8571428571428571,False
13,0,0,0,0,0,0,0,0,7,0,7,1.0,True
14,0,0,0,0,0,0,0,0,7,0,7,1.0,True
15,0,0,0,0,0,0,0,0,7,0,7,1.0,True
16,0,0,0,1,0,1,0,2,5,0,5,0.7142857142857143,False
17,0,0,0,0,0,0,0,0,7,0,7,1.0,True
18,1,1,1,1,1,1,1,7,0,1,7,1.0,True
19,0,0,0,0,0,0,0,0,7,0,7,1.0,True
20,1,1,1,1,0,1,1,6,1,1,6,0.8571428571428571,False
21,0,0,0,0,0,0,0,0,7,0,7,1.0,True
22,1,1,1,1,1,1,1,7,0,1,7,1.0,True
23,0,0,0,0,0,0,0,0,7,0,7,1.0,True
24,1,1,1,1,1,1,1,7,0,1,7,1.0,True
25,0,0,0,0,1,0,0,1,6,0,6,0.8571428571428571,False
26,1,0,0,0,0,1,0,2,5,0,5,0.7142857142857143,False
27,1,1,1,1,1,1,1,7,0,1,7,1.0,True
28,0,0,0,0,0,0,0,0,7,0,7,1.0,True
29,0,1,0,0,0,0,0,1,6,0,6,0.8571428571428571,False
30,1,1,1,1,1,1,1,7,0,1,7,1.0,True
31,0,1,0,1,0,1,0,3,4,0,4,0.5714285714285714,False
32,1,1,0,0,0,1,1,4,3,1,4,0.5714285714285714,False
33,1,1,1,1,1,1,1,7,0,1,7,1.0,True
34,1,1,1,1,1,1,1,7,0,1,7,1.0,True
35,1,1,1,1,1,1,1,7,0,1,7,1.0,True
36,0,0,0,0,0,0,0,0,7,0,7,1.0,True
37,1,1,1,1,1,1,1,7,0,1,7,1.0,True
38,1,0,0,0,0,1,0,2,5,0,5,0.7142857142857143,False
39,1,0,1,1,1,1,1,6,1,1,6,0.8571428571428571,False
40,1,1,1,1,1,1,1,7,0,1,7,1.0,True
41,0,1,0,0,0,0,0,1,6,0,6,0.8571428571428571,False
42,1,1,1,1,1,1,1,7,0,1,7,1.0,True
43,1,1,1,1,0,0,1,5,2,1,5,0.7142857142857143,False
44,1,1,1,1,0,1,1,6,1,1,6,0.8571428571428571,False
45,1,1,1,0,1,1,0,5,2,1,5,0.7142857142857143,False
46,1,1,1,1,1,1,1,7,0,1,7,1.0,True
47,1,1,1,1,1,1,1,7,0,1,7,1.0,True
48,1,1,1,1,1,1,1,7,0,1,7,1.0,True
